TIME,DEVICE,TYPE,MESSAGE
2026-02-10 11:26:18,ABBA-S,정보,"업로드 성공: kind=procedure, files=1"
2026-02-10 11:26:18,ABBA-S,정보,"업로드 성공: kind=survey, files=1"
